"aphiaID","Kingdom","Phylum","Subphylum","Class","Order","Family","Superclass","Infraclass","Superorder","Subclass","Suborder","Infraorder","Genus","Subterclass","Superfamily","Infraphylum","Parvphylum","Gigaclass","Subkingdom","Infrakingdom","Parvorder","Subfamily","Species","rank"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Superdomain"
51,"Animalia","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
105,"Animalia","Mollusca",NA,"Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
164,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda",NA,NA,"Euthyneura",NA,"Heterobranchia","Gymnosomata",NA,NA,"Tectipleura",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
882,"Animalia","Annelida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
958,"Animalia","Annelida",NA,"Polychaeta","Phyllodocida","Tomopteridae",NA,NA,NA,"Errantia","Phyllodocida incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
1066,"Animalia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subphylum"
1078,"Animalia","Arthropoda","Crustacea","Ostracoda",NA,NA,"Oligostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1080,"Animalia","Arthropoda","Crustacea","Copepoda",NA,NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1082,"Animalia","Arthropoda","Crustacea","Thecostraca",NA,NA,"Multicrustacea",NA,NA,"Cirripedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subclass"
1086,"Animalia","Arthropoda","Crustacea","Malacostraca",NA,NA,"Multicrustacea",NA,NA,"Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subclass"
1100,"Animalia","Arthropoda","Crustacea","Copepoda","Calanoida",NA,"Multicrustacea","Neocopepoda","Gymnoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1101,"Animalia","Arthropoda","Crustacea","Copepoda","Cyclopoida",NA,"Multicrustacea","Neocopepoda","Podoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1102,"Animalia","Arthropoda","Crustacea","Copepoda","Harpacticoida",NA,"Multicrustacea","Neocopepoda","Podoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1106,"Animalia","Arthropoda","Crustacea","Copepoda","Monstrilloida",NA,"Multicrustacea","Neocopepoda","Podoplea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1128,"Animalia","Arthropoda","Crustacea","Malacostraca","Euphausiacea",NA,"Multicrustacea",NA,"Eucarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1131,"Animalia","Arthropoda","Crustacea","Malacostraca","Isopoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1135,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1137,"Animalia","Arthropoda","Crustacea","Malacostraca","Cumacea",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1205,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca","Hyperiidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
1207,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda",NA,"Multicrustacea",NA,"Peracarida","Eumalacostraca","Gammaridea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suborder"
1248,"Animalia","Ctenophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
1302,"Animalia","Arthropoda","Chelicerata","Pycnogonida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1307,"Animalia","Arthropoda","Hexapoda","Insecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1337,"Animalia","Cnidaria","Medusozoa","Hydrozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
1371,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Siphonophorae",NA,NA,NA,NA,"Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
1410,"Chromista","Foraminifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harosa","Rhizaria",NA,NA,NA,"Phylum"
1614,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Leptothecata","Sertulariidae",NA,NA,NA,"Hydroidolina",NA,NA,NA,NA,"Sertularioidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
1789,"Animalia","Phoronida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
1806,"Animalia","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
2081,"Animalia","Chaetognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phylum"
10194,"Animalia","Chordata","Vertebrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gnathostomata","Osteichthyes","Actinopterygii",NA,NA,NA,NA,NA,"Gigaclass"
11707,"Animalia","Mollusca",NA,"Cephalopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Class"
13552,"Animalia","Cnidaria","Medusozoa","Hydrozoa","Leptothecata",NA,NA,NA,NA,"Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Order"
13704,"Animalia","Mollusca",NA,"Gastropoda","Pteropoda","Limacinidae",NA,"Euthyneura",NA,"Heterobranchia","Euthecosomata",NA,NA,"Tectipleura","Limacinoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Family"
101361,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Caprellidae","Multicrustacea",NA,"Peracarida","Eumalacostraca","Senticaudata","Corophiida",NA,NA,"Caprelloidea",NA,NA,NA,NA,NA,"Caprellidira",NA,NA,"Family"
103354,"Animalia","Chordata","Tunicata","Appendicularia","Copelata","Fritillariidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family"
